Sl.No.,Poem,Source,Primary
1,அகர முதல எழுத்தெல்லாம் ஆதி பகவன் முதற்றே உலகு.,Tamil,Reverence
2,கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின்.,Tamil,Reverence
3,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார் நிலமிசை நீடுவாழ் வார்.,Tamil,Reverence
4,வேண்டுதல்வேண் டாமை இலானடி சேர்ந்தார்க்கு யாண்டும் இடும்பை இல.,Tamil,Reverence
5,இருள்சேர் இருவினையும் சேரா இறைவன் பொருள்சேர் புகழ்புரிந்தார் மாட்டு.,Tamil,Reverence
6,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க நெறிநின்றார் நீடுவாழ் வார்.,Tamil,Reverence
7,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால் மனக்கவலை மாற்றல் அரிது.,Tamil,Reverence
8,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால் பிறவாழி நீந்தல் அரிது.,Tamil,Reverence
9,கோளில் பொறியின் குணமிலவே எண்குணத்தான் தாளை வணங்காத் தலை.,Tamil,Reverence
10,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார் இறைவன் அடிசேரா தார்.,Tamil,Reverence
11,வான்நின்று உலகம் வழங்கி வருதலால் தான்அமிழ்தம் என்றுணரற் பாற்று.,Tamil,Gratitude
12,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத் துப்பாய தூஉம் மழை.,Tamil,Gratitude
13,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து உள்நின்று உடற்றும் பசி.,Tamil,Gratitude
14,ஏரின் உழாஅர் உழவர் புயல்என்னும் வாரி வளங்குன்றிக் கால்.,Tamil,Gratitude
15,கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே எடுப்பதூஉம் எல்லாம் மழை.,Tamil,Gratitude
16,விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே பசும்புல் தலைகாண்பு அரிது.,Tamil,Gratitude
17,நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி தான்நல்கா தாகி விடின்.,Tamil,Gratitude
18,சிறப்பொடு பூசனை செல்லாது வானம் வறக்குமேல் வானோர்க்கும் ஈண்டு.,Tamil,Gratitude
19,தானம் தவம்இரண்டும் தங்கா வியன்உலகம் வானம் வழங்கா தெனின்.,Tamil,Gratitude
20,நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும் வான்இன்று அமையாது ஒழுக்கு.,Tamil,Gratitude
21,ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து வேண்டும் பனுவல் துணிவு.,Tamil,Respect
22,துறந்தார் பெருமை துணைக்கூறின் வையத்து இறந்தாரை எண்ணிக்கொண் டற்று.,Tamil,Respect
23,இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார் பெருமை பிறங்கிற்று உலகு.,Tamil,Respect
24,உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான் வரனென்னும் வைப்பிற்கோர் வித்து.,Tamil,Respect
25,ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான் இந்திரனே சாலுங் கரி.,Tamil,Respect
26,செயற்கரிய செய்வார் பெரியர் சிறியர் செயற்கரிய செய்கலா தார்.,Tamil,Respect
27,சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின் வகைதெரிவான் கட்டே உலகு.,Tamil,Respect
28,நிறைமொழி மாந்தர் பெருமை நிலத்து மறைமொழி காட்டி விடும்.,Tamil,Respect
29,குணமென்னும் குன்றேறி நின்றார் வெகுளி கணமேயும் காத்தல் அரிது.,Tamil,Respect
30,அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர் க்கும் செந்தண்மை பூண்டொழுக லான்.,Tamil,Respect
31,சிறப்பு ஈனும் செல்வமும் ஈனும் அறத்தினூஉங்கு ஆக்கம் எவனோ உயிர்க்கு.,Tamil,Duty
32,அறத்தினூஉங்கு ஆக்கமும் இல்லை அதனை மறத்தலின் ஊங்கில்லை கேடு.,Tamil,Duty
33,ஒல்லும் வகையான் அறவினை ஓவாதே செல்லும்வாய் எல்லாஞ் செயல்.,Tamil,Duty
34,மனத்துக்கண் மாசிலன் ஆதல் அனைத்து அறன் ஆகுல நீர பிற.,Tamil,Duty
35,அழுக்காறு அவாவெகுளி இன்னாச்சொல் நான்கும் இழுக்கா இயன்றது அறம்.,Tamil,Duty
36,அன்றறிவாம் என்னாது அறஞ்செய்க மற்றது பொன்றுங்கால் பொன்றாத் துணை.,Tamil,Duty
37,அறத்தாறு இதுவென வேண்டா சிவிகை பொறுத்தானோடு ஊர்ந்தான் இடை.,Tamil,Duty
38,வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன் வாழ்நாள் வழியடைக்கும் கல்.,Tamil,Duty
39,அறத்தான் வருவதே இன்பம் மற் றெல்லாம் புறத்த புகழும் இல.,Tamil,Duty
40,செயற்பால தோரும் அறனே ஒருவற்கு உயற்பால தோரும் பழி.,Tamil,Duty
41,இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும் நல்லாற்றின் நின்ற துணை.,Tamil,Commitment
42,துறந்தார்க்கும் துவ்வாதவர்க்கும் இறந்தார்க்கும் இல்வாழ்வான் என்பான் துணை.,Tamil,Commitment
43,தென்புலத்தார் தெய்வம் விருந்தொக்கல் தானென்றாங்கு ஐம்புலத்தாறு ஓம்பல் தலை.,Tamil,Commitment
44,பழியஞ்சிப் பாத்தூண் உடைத்தாயின் வாழ்க்கை வழியெஞ்சல் எஞ்ஞான்றும் இல்.,Tamil,Commitment
45,அன்பும் அறனும் உடைத்தாயின் இல்வாழ்க்கை பண்பும் பயனும் அது.,Tamil,Commitment
46,அறத்தாற்றின் இல்வாழ்க்கை ஆற்றின் புறத்தாற்றில் போஒய்ப் பெறுவ தெவன்?,Tamil,Commitment
47,இயல்பினான் இல்வாழ்க்கை வாழ்பவன் என்பான் முயல்வாருள் எல்லாம் தலை.,Tamil,Commitment
48,ஆற்றின் ஒழுக்கி அறனிழுக்கா இல்வாழ்க்கை நோற்பாரின் நோன்மை உடைத்து.,Tamil,Commitment
49,அறன் எனப் பட்டதே இல்வாழ்க்கை அஃதும் பிறன்பழிப்ப தில்லாயின் நன்று.,Tamil,Commitment
50,வையத்துள் வாழ்வாங்கு வாழ்பவன் வான்உநற்யும் தெய்வத்துள் வைக்கப் படும்.,Tamil,Commitment
51,மனைக்தக்க மாண்புடையள் ஆகித்தற் கொண்டான் வளத்தக்காள் வாழ்க்கைத் துணை.,Tamil,Love
52,மனைமாட்சி இல்லாள்கண் இல்லாயின் வாழ்க்கை எனைமாட்சித் தாயினும் இல்.,Tamil,Love
53,இல்லதென் இல்லவள் மாண்பானால் உள்ளதென் இல்லவள் மாணாக் கடை?,Tamil,Love
54,பெண்ணின் பெருந்தக்க யாவுள கற்பென்னும் திண்மைஉண் டாகப் பெறின்.,Tamil,Love
55,தெய்வம் தொழாஅள் கொழுநன் தொழுதெழுவாள் பெய்யெனப் பெய்யும் மழை.,Tamil,Love
56,தற்காத்துத் தற்கொண்டாற் பேணித் தகைசான்ற சொற்காத்துச் சோர்விலாள் பெண்.,Tamil,Love
